#iRMS=4.964992331e-05 0
#    lk  ukf_rg0v  uks_rg0v        fh        fse
#
 1150.0  0.005082  0.000000  0.005082  0.000000
 1155.0  0.005716  0.000000  0.005716  0.000000
 1160.0  0.004689  0.000000  0.004689  0.000000
 1165.0  0.000359  0.000000  0.000359  0.000000
 1170.0  0.000000  0.000000  0.000000  0.000000
 1175.0  0.000000  0.000000  0.000000  0.000000
 1180.0  0.001253  0.000000  0.001253  0.000000
 1185.0  0.000836  0.000000  0.000836  0.000000
 1190.0  0.000000  0.000000  0.000000  0.000000
 1195.0  0.000000  0.000000  0.000000  0.000000
 1200.0  0.000978  0.000000  0.000978  0.000000
 1205.0  0.003427  0.000000  0.003427  0.000000
 1210.0  0.014576  0.000000  0.014576  0.000000
 1215.0  0.025653  0.000000  0.025653  0.000000
 1220.0  0.015790  0.000000  0.015790  0.000000
 1225.0  0.002736  0.000000  0.002736  0.000000
 1230.0  0.000356  0.000000  0.000356  0.000000
 1235.0  0.000375  0.000000  0.000375  0.000000
 1240.0  0.000328  0.000000  0.000328  0.000000
 1245.0  0.000216  0.000000  0.000216  0.000000
 1250.0  0.000167  0.000000  0.000167  0.000000
 1255.0  0.000174  0.000000  0.000174  0.000000
 1260.0  0.000168  0.000000  0.000168  0.000000
 1265.0  0.000000  0.000000  0.000000  0.000000
 1270.0  0.000000  0.000000  0.000000  0.000000
 1275.0  0.000082  0.000000  0.000082  0.000000
 1280.0  0.000304  0.000000  0.000304  0.000000
 1285.0  0.000279  0.000000  0.000279  0.000000
 1290.0  0.000055  0.000000  0.000055  0.000000
 1295.0  0.000054  0.000000  0.000054  0.000000
 1300.0  0.000167  0.000000  0.000167  0.000000
 1305.0  0.000000  0.000000  0.000000  0.000000
 1310.0  0.000126  0.000000  0.000126  0.000000
 1315.0  0.000262  0.000000  0.000262  0.000000
 1320.0  0.000199  0.000000  0.000199  0.000000
 1325.0  0.000124  0.000000  0.000124  0.000000
 1330.0  0.000192  0.000000  0.000192  0.000000
 1335.0  0.000163  0.000000  0.000163  0.000000
 1340.0  0.000058  0.000000  0.000058  0.000000
 1345.0  0.000008  0.000000  0.000008  0.000000
 1350.0  0.000078  0.000000  0.000078  0.000000
 1355.0  0.000154  0.000000  0.000154  0.000000
 1360.0  0.000179  0.000000  0.000179  0.000000
 1365.0  0.000231  0.000000  0.000231  0.000000
 1370.0  0.000135  0.000000  0.000135  0.000000
 1375.0  0.000212  0.000000  0.000212  0.000000
 1380.0  0.000277  0.000000  0.000277  0.000000
 1385.0  0.000246  0.000000  0.000246  0.000000
 1390.0  0.000068  0.000000  0.000068  0.000000
 1395.0  0.000204  0.000000  0.000204  0.000000
 1400.0  0.000291  0.000000  0.000291  0.000000
 1405.0  0.000394  0.000000  0.000394  0.000000
 1410.0  0.000328  0.000000  0.000328  0.000000
 1415.0  0.000084  0.000000  0.000084  0.000000
 1420.0  0.000000  0.000000  0.000000  0.000000
 1425.0  0.000128  0.000000  0.000128  0.000000
 1430.0  0.000276  0.000000  0.000276  0.000000
 1435.0  0.000200  0.000000  0.000200  0.000000
 1440.0  0.000343  0.000000  0.000343  0.000000
 1445.0  0.000711  0.000000  0.000711  0.000000
 1450.0  0.000565  0.000000  0.000565  0.000000
 1455.0  0.000275  0.000000  0.000275  0.000000
 1460.0  0.000128  0.000000  0.000128  0.000000
 1465.0  0.000179  0.000000  0.000179  0.000000
 1470.0  0.000329  0.000000  0.000329  0.000000
 1475.0  0.000381  0.000000  0.000381  0.000000
 1480.0  0.000381  0.000000  0.000381  0.000000
 1485.0  0.000275  0.000000  0.000275  0.000000
 1490.0  0.000293  0.000000  0.000293  0.000000
 1495.0  0.000329  0.000000  0.000329  0.000000
 1500.0  0.000325  0.000000  0.000325  0.000000
 1505.0  0.000311  0.000000  0.000311  0.000000
 1510.0  0.000308  0.000000  0.000308  0.000000
 1515.0  0.000306  0.000000  0.000306  0.000000
 1520.0  0.000274  0.000000  0.000274  0.000000
 1525.0  0.000288  0.000000  0.000288  0.000000
 1530.0  0.000351  0.000000  0.000351  0.000000
 1535.0  0.000427  0.000000  0.000427  0.000000
 1540.0  0.000464  0.000000  0.000464  0.000000
 1545.0  0.000695  0.000000  0.000695  0.000000
 1550.0  0.000675  0.000000  0.000675  0.000000
 1555.0  0.000392  0.000000  0.000392  0.000000
 1560.0  0.000500  0.000000  0.000500  0.000000
 1565.0  0.000524  0.000000  0.000524  0.000000
 1570.0  0.000521  0.000000  0.000521  0.000000
 1575.0  0.000617  0.000000  0.000617  0.000000
 1580.0  0.000470  0.000000  0.000470  0.000000
 1585.0  0.000463  0.000000  0.000463  0.000000
 1590.0  0.000489  0.000000  0.000489  0.000000
 1595.0  0.000344  0.000000  0.000344  0.000000
 1600.0  0.000280  0.000000  0.000280  0.000000
 1605.0  0.000434  0.000000  0.000434  0.000000
 1610.0  0.000414  0.000000  0.000414  0.000000
 1615.0  0.000230  0.000000  0.000230  0.000000
