#iRMS=8.228752995e-05 0
#    lk  ukf_rg5v  uks_rg5v        fh        fse
#
 1150.0  0.003386  0.000000  0.003386  0.000000
 1155.0  0.002432  0.000000  0.002432  0.000000
 1160.0  0.001234  0.000000  0.001234  0.000000
 1165.0  0.000788  0.000000  0.000788  0.000000
 1170.0  0.000876  0.000000  0.000876  0.000000
 1175.0  0.000854  0.000000  0.000854  0.000000
 1180.0  0.000425  0.000000  0.000425  0.000000
 1185.0  0.000363  0.000000  0.000363  0.000000
 1190.0  0.000084  0.000000  0.000084  0.000000
 1195.0  0.001137  0.000000  0.001137  0.000000
 1200.0  0.004133  0.000000  0.004133  0.000000
 1205.0  0.028503  0.000000  0.028503  0.000000
 1210.0  0.078916  0.000000  0.078916  0.000000
 1215.0  0.091386  0.000000  0.091386  0.000000
 1220.0  0.041003  0.000000  0.041003  0.000000
 1225.0  0.005986  0.000000  0.005986  0.000000
 1230.0  0.000716  0.000000  0.000716  0.000000
 1235.0  0.000489  0.000000  0.000489  0.000000
 1240.0  0.000501  0.000000  0.000501  0.000000
 1245.0  0.000393  0.000000  0.000393  0.000000
 1250.0  0.000239  0.000000  0.000239  0.000000
 1255.0  0.000134  0.000000  0.000134  0.000000
 1260.0  0.000150  0.000000  0.000150  0.000000
 1265.0  0.000146  0.000000  0.000146  0.000000
 1270.0  0.000153  0.000000  0.000153  0.000000
 1275.0  0.000239  0.000000  0.000239  0.000000
 1280.0  0.000307  0.000000  0.000307  0.000000
 1285.0  0.000254  0.000000  0.000254  0.000000
 1290.0  0.000172  0.000000  0.000172  0.000000
 1295.0  0.000196  0.000000  0.000196  0.000000
 1300.0  0.000443  0.000000  0.000443  0.000000
 1305.0  0.000597  0.000000  0.000597  0.000000
 1310.0  0.000253  0.000000  0.000253  0.000000
 1315.0  0.000122  0.000000  0.000122  0.000000
 1320.0  0.000101  0.000000  0.000101  0.000000
 1325.0  0.000150  0.000000  0.000150  0.000000
 1330.0  0.000373  0.000000  0.000373  0.000000
 1335.0  0.000748  0.000000  0.000748  0.000000
 1340.0  0.000264  0.000000  0.000264  0.000000
 1345.0  0.000058  0.000000  0.000058  0.000000
 1350.0  0.000012  0.000000  0.000012  0.000000
 1355.0  0.000129  0.000000  0.000129  0.000000
 1360.0  0.000183  0.000000  0.000183  0.000000
 1365.0  0.000164  0.000000  0.000164  0.000000
 1370.0  0.000119  0.000000  0.000119  0.000000
 1375.0  0.000146  0.000000  0.000146  0.000000
 1380.0  0.000120  0.000000  0.000120  0.000000
 1385.0  0.000108  0.000000  0.000108  0.000000
 1390.0  0.000246  0.000000  0.000246  0.000000
 1395.0  0.000419  0.000000  0.000419  0.000000
 1400.0  0.000359  0.000000  0.000359  0.000000
 1405.0  0.000395  0.000000  0.000395  0.000000
 1410.0  0.000236  0.000000  0.000236  0.000000
 1415.0  0.000127  0.000000  0.000127  0.000000
 1420.0  0.000131  0.000000  0.000131  0.000000
 1425.0  0.000217  0.000000  0.000217  0.000000
 1430.0  0.000283  0.000000  0.000283  0.000000
 1435.0  0.000181  0.000000  0.000181  0.000000
 1440.0  0.000215  0.000000  0.000215  0.000000
 1445.0  0.000314  0.000000  0.000314  0.000000
 1450.0  0.000347  0.000000  0.000347  0.000000
 1455.0  0.000303  0.000000  0.000303  0.000000
 1460.0  0.000162  0.000000  0.000162  0.000000
 1465.0  0.000277  0.000000  0.000277  0.000000
 1470.0  0.000431  0.000000  0.000431  0.000000
 1475.0  0.000299  0.000000  0.000299  0.000000
 1480.0  0.000225  0.000000  0.000225  0.000000
 1485.0  0.000465  0.000000  0.000465  0.000000
 1490.0  0.000517  0.000000  0.000517  0.000000
 1495.0  0.000489  0.000000  0.000489  0.000000
 1500.0  0.000363  0.000000  0.000363  0.000000
 1505.0  0.000296  0.000000  0.000296  0.000000
 1510.0  0.000391  0.000000  0.000391  0.000000
 1515.0  0.000333  0.000000  0.000333  0.000000
 1520.0  0.000339  0.000000  0.000339  0.000000
 1525.0  0.000348  0.000000  0.000348  0.000000
 1530.0  0.000600  0.000000  0.000600  0.000000
 1535.0  0.000558  0.000000  0.000558  0.000000
 1540.0  0.000435  0.000000  0.000435  0.000000
 1545.0  0.001056  0.000000  0.001056  0.000000
 1550.0  0.001258  0.000000  0.001258  0.000000
 1555.0  0.000509  0.000000  0.000509  0.000000
 1560.0  0.000327  0.000000  0.000327  0.000000
 1565.0  0.000350  0.000000  0.000350  0.000000
 1570.0  0.000270  0.000000  0.000270  0.000000
 1575.0  0.000374  0.000000  0.000374  0.000000
 1580.0  0.000420  0.000000  0.000420  0.000000
 1585.0  0.000343  0.000000  0.000343  0.000000
 1590.0  0.000230  0.000000  0.000230  0.000000
 1595.0  0.000259  0.000000  0.000259  0.000000
 1600.0  0.000348  0.000000  0.000348  0.000000
 1605.0  0.000345  0.000000  0.000345  0.000000
 1610.0  0.000275  0.000000  0.000275  0.000000
 1615.0  0.000287  0.000000  0.000287  0.000000
 1620.0  0.000277  0.000000  0.000277  0.000000
 1625.0  0.000394  0.000000  0.000394  0.000000
 1630.0  0.000517  0.000000  0.000517  0.000000
 1635.0  0.000660  0.000000  0.000660  0.000000
 1640.0  0.000762  0.000000  0.000762  0.000000
 1645.0  0.000427  0.000000  0.000427  0.000000
 1650.0  0.000485  0.000000  0.000485  0.000000
 1655.0  0.000945  0.000000  0.000945  0.000000
 1660.0  0.000961  0.000000  0.000961  0.000000
 1665.0  0.000576  0.000000  0.000576  0.000000
 1670.0  0.000500  0.000000  0.000500  0.000000
 1675.0  0.000432  0.000000  0.000432  0.000000
 1680.0  0.000463  0.000000  0.000463  0.000000
 1685.0  0.000480  0.000000  0.000480  0.000000
 1690.0  0.000540  0.000000  0.000540  0.000000
 1695.0  0.000595  0.000000  0.000595  0.000000
 1700.0  0.000674  0.000000  0.000674  0.000000
 1705.0  0.000734  0.000000  0.000734  0.000000
 1710.0  0.000682  0.000000  0.000682  0.000000
 1715.0  0.000723  0.000000  0.000723  0.000000
 1720.0  0.000671  0.000000  0.000671  0.000000
 1725.0  0.000670  0.000000  0.000670  0.000000
 1730.0  0.000736  0.000000  0.000736  0.000000
 1735.0  0.000797  0.000000  0.000797  0.000000
 1740.0  0.000838  0.000000  0.000838  0.000000
 1745.0  0.000910  0.000000  0.000910  0.000000
 1750.0  0.001019  0.000000  0.001019  0.000000
 1755.0  0.001114  0.000000  0.001114  0.000000
 1760.0  0.001126  0.000000  0.001126  0.000000
 1765.0  0.001075  0.000000  0.001075  0.000000
 1770.0  0.001178  0.000000  0.001178  0.000000
 1775.0  0.001218  0.000000  0.001218  0.000000
 1780.0  0.001202  0.000000  0.001202  0.000000
 1785.0  0.001131  0.000000  0.001131  0.000000
 1790.0  0.000837  0.000000  0.000837  0.000000
 1795.0  0.001170  0.000000  0.001170  0.000000
 1800.0  0.001414  0.000000  0.001414  0.000000
 1805.0  0.001839  0.000000  0.001839  0.000000
 1810.0  0.002190  0.000000  0.002190  0.000000
 1815.0  0.002583  0.000000  0.002583  0.000000
 1820.0  0.002529  0.000000  0.002529  0.000000
 1825.0  0.001884  0.000000  0.001884  0.000000
 1830.0  0.001742  0.000000  0.001742  0.000000
 1835.0  0.001819  0.000000  0.001819  0.000000
 1840.0  0.001781  0.000000  0.001781  0.000000
 1845.0  0.001607  0.000000  0.001607  0.000000
 1850.0  0.001666  0.000000  0.001666  0.000000
 1855.0  0.001801  0.000000  0.001801  0.000000
 1860.0  0.001895  0.000000  0.001895  0.000000
 1865.0  0.002163  0.000000  0.002163  0.000000
 1870.0  0.002445  0.000000  0.002445  0.000000
 1875.0  0.002317  0.000000  0.002317  0.000000
 1880.0  0.002398  0.000000  0.002398  0.000000
 1885.0  0.002460  0.000000  0.002460  0.000000
 1890.0  0.002629  0.000000  0.002629  0.000000
 1895.0  0.002650  0.000000  0.002650  0.000000
 1900.0  0.002619  0.000000  0.002619  0.000000
